SegmentName:,'Node1:','Node2:','Node3:','Bif Parent:','Branch1:','Branch2:','Trif Parent:','Branch1:','Branch2:','Branch3:','Total Elements:'
parent,1,2,3,,,,,,,,18
parent,3,4,5,,,,,,,,
parent,5,6,7,,,,,,,,
parent,7,8,9,,,,,,,,
parent,9,10,11,,,,,,,,
parent,11,12,13,,,,,,,,
parent,13,14,15,,,,,,,,
parent,15,16,17,,,,,,,,
parent,17,18,19,,,,,,,,
parent,19,20,21,,,,,,,,
parent,21,22,23,,,,,,,,
parent,23,24,25,12,13,16,,,,,
daughter1,25,26,27,,,,,,,,
daughter1,27,28,29,,,,,,,,
daughter1,29,30,31,,,,,,,,
daughter2,25,32,33,,,,,,,,
daughter2,33,34,35,,,,,,,,
daughter2,35,36,37,,,,,,,,
